ISO,REF_AREA_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CYP,Cyprus,66.776,67.188,67.598,67.792,67.915,68.038,68.161,68.283,68.405,68.527,68.648,68.769,68.694,68.553,68.41,68.268,68.125,67.982,67.839,67.695,67.551,67.406,67.261,67.137,67.031,66.946,66.881,66.836,66.81,66.805,66.821,66.856,66.911,66.987,67.082
CZE,Czechia,75.22,75.158,75.03,74.901,74.772,74.643,74.513,74.382,74.251,74.12,73.988,73.877,73.809,73.74,73.671,73.602,73.533,73.463,73.394,73.324,73.255,73.185,73.197,73.29,73.384,73.477,73.57,73.675,73.792,73.921,74.061,74.214,74.377,74.552,74.738
DEU,Germany,73.118,73.269,73.36,73.497,73.71,73.922,74.133,74.342,74.551,74.758,74.965,75.17,75.374,75.577,75.779,75.98,76.179,76.378,76.575,76.771,76.966,77.16,77.17,77.18,77.19,77.2,77.224,77.261,77.312,77.376,77.453,77.544,77.648,77.765,77.895
DJI,Djibouti,75.957,76.114,76.161,76.207,76.254,76.3,76.347,76.393,76.439,76.485,76.532,76.578,76.624,76.67,76.716,76.761,76.807,76.853,76.899,76.944,76.999,77.064,77.138,77.222,77.314,77.417,77.528,77.648,77.777,77.915,78.062,78.217,78.38,78.552,78.732
DMA,Dominica,63.079,64.482,64.569,64.656,64.744,64.831,64.918,65.005,65.092,65.179,65.265,65.382,65.689,65.994,66.299,66.601,66.903,67.203,67.502,67.799,68.094,68.389,68.685,68.982,69.28,69.579,69.88,70.181,70.483,70.786,71.09,71.395,71.7,72.006,72.312
DNK,Denmark,84.843,84.871,84.898,84.925,84.952,84.979,85.006,85.033,85.06,85.086,85.1,85.15,85.25,85.36,85.566,85.856,86.098,86.293,86.487,86.654,86.795,86.957,87.142,87.292,87.41,87.526,87.642,87.757,87.874,87.994,88.116,88.24,88.367,88.495,88.626
DOM,Dominican Republic,55.226,55.497,55.767,56.037,56.752,57.598,58.441,59.276,60.107,60.933,61.753,62.565,63.371,64.605,66.003,67.37,68.71,70.02,71.3,72.542,73.753,74.827,75.802,76.749,77.67,78.566,79.436,80.277,81.074,81.828,82.54,83.213,83.848,84.446,85.011
DZA,Algeria,52.085,52.871,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261,74.772,75.268,75.748
EAP,East Asia & Pacific (excluding high income),28.158422830158973,28.936481045257768,29.73764936388064,30.55134460252578,31.37729301905436,32.214744185091625,33.067680364011416,33.930013646280706,34.80812775008171,35.700802170845314,36.61727447513063,37.64539939087732,38.75275617966921,39.87246085312316,41.0033495519225,42.13852522080396,43.2464228822115,44.33902039319552,45.43600278782368,46.53528748814017,47.63735141323817,48.67537047189165,49.687754084240936,50.69391224398986,51.697301033385145,52.69565043602695,53.689777809400645,54.67599331177685,55.63924008769981,56.57602106754011,57.48453968089424,58.36553690036355,59.22148416377907,60.04894176814042,60.85124276929168
EAR,Early-demographic dividend,34.87106883487654,35.237393170668575,35.579472773574444,35.911231075366935,36.26210350540669,36.61202828279815,36.932908945385954,37.25315572717763,37.58339103653751,37.9140294954528,38.247988423345554,38.57389980956036,38.93242888589572,39.29086724526126,39.655369590855486,40.02540752832368,40.40411569406632,40.77696667137823,41.15741650013129,41.53807602676342,41.90298137073213,42.26943707205369,42.63464260001616,43.01594923618804,43.40135420455744,43.81360196070968,44.21601740558371,44.6014670203505,44.98303319703667,45.37626401449491,45.78781492573128,46.185409692723,46.62515460236719,47.07415432433774,47.52314543958163
